Country,Date,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Crisis
AT,1970,0.415312096,0.36156162,0.746624712,0.34514368,0.677156753,0.026779246,0.55013598,0.29231909,0.648561215,0.915743299,0
AT,1970.25,0.721063933,0.713735925,0.859167672,0.10584789,0.254933004,0.330788365,0.909020939,0.055395258,0.55901967,0.30621721,0
AT,1970.5,0.404868043,0.003335068,0.397796996,0.262278911,0.117865539,0.825479219,0.49796102,0.151313841,0.426984666,0.157802504,0
AT,1970.75,0.892022898,0.676481311,0.281206452,0.222807989,0.367236614,0.842076005,0.592137318,0.180798278,0.542782547,0.088587306,0
AT,1971,0.097766798,0.855083601,0.531343953,0.342914851,0.795473173,0.413830488,0.696505644,0.920356875,0.267975145,0.705269777,0
AT,1971.25,0.403660764,0.931490621,0.194890635,0.048271511,0.886084185,0.127481701,0.463880177,0.863164919,0.52288313,0.224275864,0
AT,1971.5,0.884596385,0.057039545,0.659533724,0.893102406,0.428002094,0.665252478,0.520160338,0.312766768,0.02640216,0.444685014,0
AT,1971.75,0.77655637,0.093225239,0.155732465,0.701780168,0.648273315,0.336497009,0.883710543,0.382068289,0.363379269,0.927990078,0
AT,1972,0.969417075,0.02447858,0.091259468,0.666616518,0.153890436,0.769032828,0.253342368,0.800246176,0.183121954,0.137373772,0
AT,1972.25,0.345609361,0.65265875,0.61580694,0.551115542,0.313679937,0.78638759,0.409167366,0.692651305,0.007300247,0.492960261,0
AT,1972.5,0.84570249,0.768759698,0.192995422,0.054977757,0.704920485,0.74193476,0.69891812,0.045347228,0.597552318,0.376384851,0
AT,1972.75,0.833026739,0.397802442,0.97517765,0.269007175,0.975558414,0.327963635,0.452352515,0.342613681,0.110397622,0.936955318,0
AT,1973,0.006559469,0.89399636,0.927310405,0.513437309,0.212215791,0.518676158,0.274550169,0.198177519,0.652148076,0.942122515,0
AT,1973.25,0.504586704,0.598591177,0.247082455,0.461866797,0.240768131,0.496506041,0.283305962,0.628516978,0.642222999,0.913176994,0
AT,1973.5,0.785378893,0.967512846,0.711165453,0.416523357,0.412654479,0.683104495,0.799603194,0.090733002,0.640316075,0.932876858,0
AT,1973.75,0.366045062,0.523355466,0.070877516,0.100844607,0.346397701,0.396942545,0.22818371,0.167063036,0.418548083,0.641265809,0
AT,1974,0.488994231,0.688097057,0.373797097,0.699806227,0.875673556,0.179729874,0.212883128,0.286883174,0.758874395,0.936480661,0
AT,1974.25,0.594716941,0.229889612,0.432234843,0.14441228,0.216092884,0.143980208,0.187974668,0.287154424,0.072545673,0.29459148,0
AT,1974.5,0.33073507,0.4852033,0.908752303,0.284362611,0.756628262,0.941007651,0.104546391,0.21644294,0.922555811,0.256449203,0
AT,1974.75,0.220757014,0.090257229,0.562534594,0.923485671,0.17617763,0.037083336,0.27256148,0.515592656,0.452225723,0.583349499,0
AT,1975,0.967940966,0.529715229,0.897889879,0.73497087,0.344952183,0.23013709,0.016387637,0.874796515,0.931904611,0.024241723,0
AT,1975.25,0.787733069,0.502218437,0.020546525,0.418851159,0.013651619,0.909814199,0.091054326,0.183879554,0.16614177,0.579714047,0
AT,1975.5,0.08360807,0.783869265,0.73450666,0.664121532,0.430556409,0.374153805,0.519456218,0.064170422,0.069325924,0.44374227,0
AT,1975.75,0.876434162,0.784394251,0.561173754,0.63686485,0.004616792,0.398784226,0.549884725,0.834579273,0.394205889,0.085072654,0
AT,1976,0.561018034,0.131110462,0.232971092,0.741132011,0.755054762,0.995013442,0.300335286,0.307482674,0.827701822,0.752556058,0
AT,1976.25,0.08421281,0.628536523,0.399204259,0.894538281,0.619390459,0.42142595,0.410638629,0.199326816,0.630047456,0.849429688,0
AT,1976.5,0.538162493,0.435029313,0.042568476,0.047717789,0.317102326,0.975780381,0.909806848,0.788881565,0.504132532,0.172555205,0
AT,1976.75,0.776134264,0.505645441,0.218055034,0.33801951,0.623044711,0.222301018,0.311153391,0.406634752,0.034537225,0.280650365,0
AT,1977,0.573109096,0.348894198,0.216291719,0.325191574,0.467925302,0.26744891,0.301305714,0.740669811,0.195892069,0.578909556,0
AT,1977.25,0.350433754,0.961097087,0.192266324,0.712124259,0.987610892,0.269359374,0.526661843,0.18823631,0.895532512,0.63783887,0
AT,1977.5,0.376162511,0.857408576,0.728031938,0.645886483,0.489301476,0.185536569,0.359600567,0.794721752,0.321093845,0.886025399,0
AT,1977.75,0.923079023,0.253498508,0.26478824,0.067989532,0.303365332,0.140787226,0.008989497,0.089258245,0.80697794,0.221708083,0
AT,1978,0.43820836,0.324585284,0.165930196,0.265647682,0.203990303,0.830415947,0.279674687,0.315017963,0.383706166,0.591387707,0
AT,1978.25,0.82236651,0.988211025,0.403189725,0.390036647,0.114848732,0.246051436,0.10632637,0.877292557,0.085721619,0.364726464,0
AT,1978.5,0.001219134,0.03858395,0.3004865,0.03171778,0.092405133,0.349087612,0.946832374,0.811375748,0.201127407,0.917511284,0
AT,1978.75,0.322487971,0.579771107,0.772338256,0.003512809,0.581973579,0.024845964,0.456096851,0.408413934,0.262701039,0.829682899,0
AT,1979,0.8776449,0.140629017,0.836585052,0.548120263,0.388091609,0.261399851,0.711943621,0.364461668,0.766967341,0.531721358,0
AT,1979.25,0.110929302,0.947850237,0.3075042,0.895724635,0.866022417,0.33800846,0.797415818,0.113039095,0.12841976,0.982919026,0
